"instate_tuition","outstate_tuition","room_and_board","enrollment","school_type","religious_affiliation","acad_calendar","setting_urban","setting_suburb","endowment","salary","accept_rate","stud_fac_ratio","four_year_grad_rate"
"In-state Tuition & Fees $14,240 (2018-19)","Out-of-state Tuition & Fees $43,232 (2018-19)","Room and Board $17,764 (2018-19)","Total Enrollment 41,910","Public, Coed","None","Semester","City","City","$4.4 billion +","            $64,300*","            17%","            18:1","            76%"
"Tuition & Fees $56,225 (2018-19)","Tuition & Fees $56,225 (2018-19)","Room and Board $15,400 (2018-19)","Total Enrollment 36,487","Private, Coed","None","Semester","Urban","Urban","$5.1 billion +","            $58,100*","            16%","            8:1","            77%"
"Tuition & Fees $55,465 (2018-19)","Tuition & Fees $55,465 (2018-19)","Room and Board $14,418 (2018-19)","Total Enrollment 14,528","Private, Coed","None","Semester","Urban","Urban","$1.7 billion +","            $71,600*","            22%","            13:1","            76%"
"In-state Tuition & Fees $17,350 (2018-19)","Out-of-state Tuition & Fees $48,891 (2018-19)","Room and Board $11,590 (2018-19)","Total Enrollment 24,360","Public, Coed","None","Semester","Suburban","Suburban","$6.3 billion +","            $59,600*","            27%","            14:1","            88%"
"Tuition & Fees $56,382 (2018-19)","Tuition & Fees $56,382 (2018-19)","Room and Board $14,560 (2018-19)","Total Enrollment 11,449","Private, Coed","None","Semester","Suburban","Suburban","$1.7 billion +","            $59,300*","            15%","            9:1","            87%"
"In-state Tuition & Fees $15,262 (2018-19)","Out-of-state Tuition & Fees $49,350 (2018-19)","Room and Board $11,534 (2018-19)","Total Enrollment 46,002","Public, Coed","None","Trimester","City","City","$10.8 billion","            $61,900*","            27%","            15:1","            77%"
"Tuition & Fees $53,322 (2018-19)","Tuition & Fees $53,322 (2018-19)","Room and Board $16,032 (2018-19)","Total Enrollment 8,116","Private, Coed","None","Semester","Suburban","Suburban","$1.2 billion +","            $54,100*","            28%","            11:1","            84%"
"Tuition & Fees $51,828 (2018-19)","Tuition & Fees $51,828 (2018-19)","Room and Board $18,156 (2018-19)","Total Enrollment 51,123","Private, Coed","None","Semester","Urban","Urban","$4.1 billion","            $57,400*","            28%","            9:1","            75%"
"In-state Tuition & Fees $14,472 (2018-19)","Out-of-state Tuition & Fees $42,486 (2018-19)","Room and Board $15,673 (2018-19)","Total Enrollment 25,057","Public, Coed","None","Quarter","Suburban","Suburban","$332.4 million +","            $53,800*","            33%","            17:1","            70%"
"In-state Tuition & Fees $8,986 (2018-19)","Out-of-state Tuition & Fees $35,169 (2018-19)","Room and Board $11,190 (2018-19)","Total Enrollment 29,911","Public, Coed","None","Semester","Suburban","Suburban","$2.9 billion +","            $49,600*","            24%","            13:1","            84%"
"In-state Tuition & Fees $15,516 (2017-18)","Out-of-state Tuition & Fees $43,530 (2017-18)","Room and Board $14,829 (2017-18)","Total Enrollment 35,242","Public, Coed","None","Quarter","Suburban","Suburban","$853.3 million","            $54,500*","            37%","            18:1","            70%"
"Tuition & Fees $53,926 (2018-19)","Tuition & Fees $53,926 (2018-19)","Room and Board $15,938 (2018-19)","Total Enrollment 11,648","Private, Coed","None","Semester","Suburban","Suburban","$2.1 billion +","            $54,600*","            34%","            10:1","            77%"
"Tuition & Fees $55,395 (2018-19)","Tuition & Fees $55,395 (2018-19)","Room and Board $15,440 (2018-19)","Total Enrollment 5,722","Private, Coed","None","Semester","Suburban","Suburban","$976.9 million","            $52,900*","            34%","            10:1","            83%"
"In-state Tuition & Fees $12,424 (2018-19)","Out-of-state Tuition & Fees $33,020 (2018-19)","Room and Board $14,596 (2018-19)","Total Enrollment 29,376","Public, Coed","None","Semester","Urban","Urban","$2.0 billion","            $68,100*","            23%","            22:1","            39%"
"In-state Tuition & Fees $6,381 (2018-19)","Out-of-state Tuition & Fees $28,658 (2018-19)","Room and Board $10,120 (2018-19)","Total Enrollment 52,669","Public, Coed","None","Semester","Suburban","Suburban","$1.6 billion +","            $52,800*","            42%","            19:1","            68%"
"Tuition & Fees $55,464 (2018-19)","Tuition & Fees $55,464 (2018-19)","Room and Board $14,478 (2018-19)","Total Enrollment 13,996","Private, Coed","Roman Catholic","Semester","Suburban","Suburban","$2.3 billion +","            $57,900*","            32%","            12:1","            88%"
"In-state Tuition & Fees $21,830 (2018-19)","Out-of-state Tuition & Fees $44,701 (2018-19)","Room and Board $12,236 (2018-19)","Total Enrollment 8,740","Public, Coed","None","Semester","Suburban","Suburban","$874.1 million","            $53,400*","            36%","            11:1","            85%"
"In-state Tuition & Fees $14,463 (2018-19)","Out-of-state Tuition & Fees $43,458 (2018-19)","Room and Board $15,765 (2018-19)","Total Enrollment 37,278","Public, Coed","None","Quarter","City","City","$1.1 billion +","            More selective","            Nov. 30","            58%","            37,278"
"In-state Tuition & Fees $14,060 (2018-19)","Out-of-state Tuition & Fees $42,074 (2018-19)","Room and Board $13,733 (2018-19)","Total Enrollment 35,772","Public, Coed","None","Quarter","Urban","Urban","$1.4 billion","            $58,000*","            34%","            19:1","            55%"
"Tuition & Fees $53,948 (2018-19)","Tuition & Fees $53,948 (2018-19)","Room and Board $15,720 (2018-19)","Total Enrollment 33,355","Private, Coed","None","Semester","Urban","Urban","$2.0 billion","            $55,200*","            25%","            10:1","            81%"
"Tuition & Fees $49,042 (2018-19)","Tuition & Fees $49,042 (2018-19)","Room and Board $15,190 (2018-19)","Total Enrollment 11,824","Private, Coed","None","Semester","Urban","Urban","$1.8 billion","            $63,000*","            33%","            11:1","            66%"
"Tuition & Fees $51,387 (2018-19)","Tuition & Fees $51,387 (2018-19)","Room and Board $16,880 (2018-19)","Total Enrollment 21,489","Private, Coed","None","Semester","Urban","Urban","$795.9 million","            $60,100*","            27%","            14:1","            0%"
"Tuition & Fees $54,820 (2018-19)","Tuition & Fees $54,820 (2018-19)","Room and Board $15,190 (2018-19)","Total Enrollment 11,248","Private, Coed","None","Semester","Urban","Urban","$1.3 billion","            $50,200*","            21%","            8:1","            73%"
"Tuition & Fees $53,932 (2018-19)","Tuition & Fees $53,932 (2018-19)","Room and Board $15,320 (2018-19)","Total Enrollment 7,710","Private, Coed","Churches of Christ","Semester","Suburban","Suburban","$860.3 million +","            $52,200*","            40%","            13:1","            77%"
"In-state Tuition & Fees $11,830 (2018-19)","Out-of-state Tuition & Fees $30,404 (2018-19)","Room and Board $10,038 (2018-19)","Total Enrollment 37,606","Public, Coed","None","Semester","City","City","$1.2 billion","            $49,900*","            54%","            17:1","            63%"
"In-state Tuition & Fees $15,998 (2018-19)","Out-of-state Tuition & Fees $32,568 (2018-19)","Room and Board $11,308 (2018-19)","Total Enrollment 48,216","Public, Coed","None","Semester","City","City","$1.8 billion +","            $59,900*","            62%","            20:1","            70%"
"Tuition & Fees $53,880 (2018-19)","Tuition & Fees $53,880 (2018-19)","Room and Board $15,260 (2018-19)","Total Enrollment 7,633","Private, Coed","None","Semester","Suburban","Suburban","$674.3 million +","            $68,400*","            43%","            13:1","            61%"
"In-state Tuition & Fees $10,606 (2018-19)","Out-of-state Tuition & Fees $37,480 (2018-19)","Room and Board $10,804 (2018-19)","Total Enrollment 51,525","Public, Coed","None","Semester","Urban","Urban","$3.7 billion","            $56,800*","            36%","            18:1","            58%"
"In-state Tuition & Fees $10,555 (2018-19)","Out-of-state Tuition & Fees $36,805 (2018-19)","Room and Board $11,114 (2018-19)","Total Enrollment 43,820","Public, Coed","None","Semester","City","City","$3.8 billion","            $53,700*","            54%","            18:1","            61%"
"Tuition & Fees $53,458 (2018-19)","Tuition & Fees $53,458 (2018-19)","Room and Board $14,020 (2018-19)","Total Enrollment 10,983","Private, Coed","Roman Catholic","Semester","Suburban","Suburban","$641.3 million +","            $61,200*","            36%","            11:1","            87%"
"Tuition & Fees $52,930 (2018-19)","Tuition & Fees $52,930 (2018-19)","Room and Board $13,600 (2018-19)","Total Enrollment 7,017","Private, Coed","None","Semester","City","City","$1.3 billion","            $65,800*","            25%","            9:1","            76%"
"Tuition & Fees $51,853 (2018-19)","Tuition & Fees $51,853 (2018-19)","Room and Board $15,550 (2018-19)","Total Enrollment 22,484","Private, Coed","None","Semester","City","City","$1.3 billion","            $53,600*","            47%","            15:1","            70%"
"Tuition & Fees $50,226 (2018-19)","Tuition & Fees $50,226 (2018-19)","Room and Board $14,108 (2018-19)","Total Enrollment 17,003","Private, Coed","None","Semester","Suburban","Suburban","$948.6 million","            $53,400*","            36%","            12:1","            72%"
"In-state Tuition & Fees $10,726 (2018-19)","Out-of-state Tuition & Fees $30,742 (2018-19)","Room and Board $12,434 (2018-19)","Total Enrollment 59,837","Public, Coed","None","Semester","Urban","Urban","$4.2 billion +","            $53,100*","            48%","            19:1","            59%"
"In-state Tuition & Fees $10,002 (2018-19)","Out-of-state Tuition & Fees $28,804 (2018-19)","Room and Board $10,030 (2018-19)","Total Enrollment 41,573","Public, Coed","None","Semester","City","City","$2.3 billion +","            $60,000*","            57%","            13:1","            51%"
"In-state Tuition & Fees $14,974 (2018-19)","Out-of-state Tuition & Fees $31,282 (2018-19)","Room and Board $12,706 (2018-19)","Total Enrollment 49,577","Public, Coed","None","Semester","City","City","$985.5 million","            $55,600*","            58%","            13:1","            60%"
"In-state Tuition & Fees $18,454 (2018-19)","Out-of-state Tuition & Fees $34,858 (2018-19)","Room and Board $11,570 (2018-19)","Total Enrollment 47,119","Public, Coed","None","Semester","City","City","$2.0 billion","            $56,700*","            50%","            16:1","            67%"
"Tuition & Fees $54,493 (2018-19)","Tuition & Fees $54,493 (2018-19)","Room and Board $16,845 (2018-19)","Total Enrollment 11,789","Private, Coed","United Methodist","Semester","Urban","Urban","$1.5 billion +","            $54,900*","            49%","            11:1","            71%"
"In-state Tuition & Fees $11,517 (2018-19)","Out-of-state Tuition & Fees $36,898 (2018-19)","Room and Board $12,798 (2018-19)","Total Enrollment 46,166","Public, Coed","None","Quarter","Urban","Urban","$3.2 billion +","            $56,900*","            46%","            19:1","            65%"
"Tuition & Fees $50,530 (2018-19)","Tuition & Fees $50,530 (2018-19)","Room and Board $14,774 (2018-19)","Total Enrollment 6,642","Private, Coed","None","Semester","City","City","$502.5 million","            $68,800*","            48%","            13:1","            82%"
"Tuition & Fees $55,230 (2018-19)","Tuition & Fees $55,230 (2018-19)","Room and Board $13,850 (2018-19)","Total Enrollment 27,973","Private, Coed","None","Semester","Urban","Urban","$1.7 billion +","            $53,300*","            41%","            13:1","            73%"
"In-state Tuition & Fees $15,730 (2018-19)","Out-of-state Tuition & Fees $38,098 (2018-19)","Room and Board $12,874 (2018-19)","Total Enrollment 27,578","Public, Coed","None","Semester","Rural","Rural","$401.3 million","            $57,200*","            48%","            16:1","            70%"
"In-state Tuition & Fees $10,595 (2018-19)","Out-of-state Tuition & Fees $35,216 (2018-19)","Room and Board $12,429 (2018-19)","Total Enrollment 40,521","Public, Coed","None","Semester","Suburban","Suburban","$548.7 million +","            $58,200*","            44%","            18:1","            67%"
"Tuition & Fees $5,620 (2018-19)","Tuition & Fees $5,620 (2018-19)","Room and Board $7,628 (2018-19)","Total Enrollment 34,334","Private, Coed","Latter Day Saints (Mormon Church)","Semester","City","City","$1.7 billion +","            $55,800*","            52%","            20:1","            23%"
"Tuition & Fees $45,730 (2018-19)","Tuition & Fees $45,730 (2018-19)","Room and Board $9,170 (2018-19)","Total Enrollment 3,153","Private, Coed","None","Semester","City","City","$408.8 million +","            $46,100*","            56%","            10:1","            77%"
"In-state Tuition & Fees $14,970 (2018-19)","Out-of-state Tuition & Fees $36,724 (2018-19)","Room and Board $10,832 (2018-19)","Total Enrollment 24,387","Public, Coed","None","Semester","Suburban","Suburban","$682.7 million +","            $55,400*","            47%","            16:1","            59%"
"In-state Tuition & Fees $10,968 (2018-19)","Out-of-state Tuition & Fees $36,636 (2018-19)","Room and Board $10,436 (2018-19)","Total Enrollment 67,580","Public, Coed","None","Semester","City","City","$10.8 billion +","            $57,900*","            70%","            20:1","            54%"
"In-state Tuition & Fees $6,507 (2018-19)","Out-of-state Tuition & Fees $21,673 (2018-19)","Room and Board $10,458 (2018-19)","Total Enrollment 41,362","Public, Coed","None","Semester","City","City","$639.4 million","            $46,400*","            49%","            22:1","            63%"
"Tuition & Fees $52,248 (2018-19)","Tuition & Fees $52,248 (2018-19)","Room and Board $17,969 (2018-19)","Total Enrollment 16,037","Private, Coed","Roman Catholic","Semester","Urban","Urban","$691.1 million","            $53,100*","            46%","            15:1","            74%"
"Tuition & Fees $52,202 (2018-19)","Tuition & Fees $52,202 (2018-19)","Room and Board $15,244 (2018-19)","Total Enrollment 6,771","Private, Coed","None","Semester","City","City","$183.9 million +","            $69,000*","            44%","            10:1","            42%"
"In-state Tuition & Fees $13,949 (2018-19)","Out-of-state Tuition & Fees $41,963 (2018-19)","Room and Board $16,407 (2018-19)","Total Enrollment 19,457","Public, Coed","None","Quarter","Suburban","Suburban","$188.7 million +","            $52,000*","            51%","            19:1","            55%"
"In-state Tuition & Fees $15,887 (2018-19)","Out-of-state Tuition & Fees $34,570 (2018-19)","Room and Board $13,202 (2018-19)","Total Enrollment 30,340","Public, Coed","None","Semester","Suburban","Suburban","$323.6 million","            $53,900*","            57%","            18:1","            67%"
"In-state Tuition & Fees $19,080 (2018-19)","Out-of-state Tuition & Fees $32,052 (2018-19)","Room and Board $11,050 (2018-19)","Total Enrollment 28,642","Public, Coed","None","Semester","Urban","Urban","$3.9 billion +","            $53,200*","            60%","            14:1","            65%"
"In-state Tuition & Fees $14,693 (2018-19)","Out-of-state Tuition & Fees $30,371 (2018-19)","Room and Board $10,312 (2018-19)","Total Enrollment 51,848","Public, Coed","None","Semester","Urban","Urban","$3.3 billion","            $54,100*","            50%","            17:1","            64%"
"In-state Tuition & Fees $13,620 (2018-19)","Out-of-state Tuition & Fees $31,304 (2018-19)","Room and Board $8,408 (2018-19)","Total Enrollment 34,440","Public, Coed","None","Semester","Rural","Rural","$987.6 million","            $60,000*","            70%","            14:1","            63%"
"Tuition & Fees $48,459 (2018-19)","Tuition & Fees $48,459 (2018-19)","Room and Board $14,880 (2018-19)","Total Enrollment 13,858","Private, Coed","United Methodist","Semester","Suburban","Suburban","$622.0 million","            $48,500*","            29%","            11:1","            76%"
"Tuition & Fees $45,542 (2018-19)","Tuition & Fees $45,542 (2018-19)","Room and Board $7,800 (2018-19)","Total Enrollment 17,059","Private, Coed"," Baptist","Semester","City","City","$1.2 billion +","            $51,300*","            39%","            14:1","            60%"
"In-state Tuition & Fees $9,808 (2018-19)","Out-of-state Tuition & Fees $24,488 (2018-19)","Room and Board $15,058 (2018-19)","Total Enrollment 17,342","Public, Coed","None","Semester","Suburban","Suburban","$109.3 million +","            $55,400*","            40%","            19:1","            73%"
"In-state Tuition & Fees $18,964 (2018-19)","Out-of-state Tuition & Fees $38,584 (2018-19)","Room and Board $13,169 (2018-19)","Total Enrollment 6,117","Public, Coed","None","Semester","Suburban","Suburban","$246.1 million +","            $69,700*","            56%","            16:1","            55%"
"In-state Tuition & Fees $9,101 (2018-19)","Out-of-state Tuition & Fees $28,444 (2018-19)","Room and Board $11,078 (2018-19)","Total Enrollment 34,432","Public, Coed","None","Semester","City","City","$1.1 billion +","            $55,400*","            51%","            13:1","            50%"
"In-state Tuition & Fees $9,624 (2018-19)","Out-of-state Tuition & Fees $26,934 (2018-19)","Room and Board $13,698 (2018-19)","Total Enrollment 25,989","Public, Coed","None","Semester","Suburban","Suburban","$234.0 million","            $54,400*","            42%","            18:1","            53%"
"Tuition & Fees $46,950 (2018-19)","Tuition & Fees $46,950 (2018-19)","Room and Board $12,804 (2018-19)","Total Enrollment 10,489","Private, Coed"," Christian Church (Disciples of Christ)","Semester","Suburban","Suburban","$1.5 billion","            $51,200*","            41%","            13:1","            69%"
"Tuition & Fees $43,500 (2018-19)","Tuition & Fees $43,500 (2018-19)","Room and Board $12,250 (2018-19)","Total Enrollment 6,311","Private, Coed","None","Semester","Urban","Urban","$506.2 million","            $53,400*","            63%","            7:1","            76%"
"In-state Tuition & Fees $14,460 (2018-19)","Out-of-state Tuition & Fees $39,750 (2018-19)","Room and Board $10,272 (2018-19)","Total Enrollment 50,019","Public, Coed","None","Semester","Suburban","Suburban","$3.1 billion","            $52,200*","            72%","            16:1","            52%"
"In-state Tuition & Fees $13,887 (2018-19)","Out-of-state Tuition & Fees $42,879 (2018-19)","Room and Board $16,000 (2018-19)","Total Enrollment 23,278","Public, Coed","None","Quarter","City","City","$231.1 million","            $50,700*","            57%","            22:1","            53%"
"Tuition & Fees $49,358 (2018-19)","Tuition & Fees $49,358 (2018-19)","Room and Board $12,980 (2018-19)","Total Enrollment 8,905","Private, Coed","Roman Catholic","4-1-4","Urban","Urban","$503.6 million","            $54,000*","            50%","            14:1","            70%"
"Tuition & Fees $26,756 (2018-19)","Tuition & Fees $26,756 (2018-19)","Room and Board $13,895 (2018-19)","Total Enrollment 9,392","Private, Coed","None","Semester","Urban","Urban","$646.6 million","            $51,500*","            41%","            8:1","            43%"
"In-state Tuition & Fees $10,681 (2018-19)","Out-of-state Tuition & Fees $35,456 (2018-19)","Room and Board $10,465 (2018-19)","Total Enrollment 43,710","Public, Coed","None","Semester","City","City","$1.1 billion","            $49,700*","            76%","            17:1","            63%"
"Tuition & Fees $44,048 (2018-19)","Tuition & Fees $44,048 (2018-19)","Room and Board $14,480 (2018-19)","Total Enrollment 16,673","Private, Coed","Roman Catholic","Semester","City","City","$593.5 million","            $49,100*","            71%","            14:1","            69%"
"Tuition & Fees $41,870 (2018-19)","Tuition & Fees $41,870 (2018-19)","Room and Board $12,720 (2018-19)","Total Enrollment 11,426","Private, Coed","Roman Catholic","Semester","Urban","Urban","$626.2 million","            $54,000*","            89%","            14:1","            59%"
"In-state Tuition & Fees $10,028 (2018-19)","Out-of-state Tuition & Fees $27,758 (2018-19)","Room and Board $13,723 (2018-19)","Total Enrollment 30,648","Public, Coed","None","Semester","Suburban","Suburban","$659.2 million","            $51,100*","            57%","            13:1","            57%"
"In-state Tuition & Fees $13,680 (2018-19)","Out-of-state Tuition & Fees $34,310 (2018-19)","Room and Board $12,864 (2018-19)","Total Enrollment 22,970","Public, Coed","None","4-1-4","Suburban","Suburban","$1.4 billion","            $54,800*","            60%","            13:1","            73%"
"In-state Tuition & Fees $8,965 (2018-19)","Out-of-state Tuition & Fees $30,609 (2018-19)","Room and Board $10,450 (2018-19)","Total Enrollment 32,166","Public, Coed","None","Semester","City","City","$1.4 billion","            $49,600*","            86%","            16:1","            54%"
"Tuition & Fees $47,646 (2018-19)","Tuition & Fees $47,646 (2018-19)","Room and Board $13,192 (2018-19)","Total Enrollment 7,164","Private, Coed","None","Semester","Urban","Urban","$241.9 million","            $61,400*","            54%","            12:1","            32%"
"In-state Tuition & Fees $14,825 (2018-19)","Out-of-state Tuition & Fees $33,577 (2018-19)","Room and Board $13,031 (2018-19)","Total Enrollment 19,700","Public, Coed","None","Semester","Rural","Rural","$512.4 million","            $53,300*","            68%","            17:1","            67%"
"In-state Tuition & Fees $12,534 (2018-19)","Out-of-state Tuition & Fees $37,288 (2018-19)","Room and Board $14,418 (2018-19)","Total Enrollment 35,230","Public, Coed","None","Semester","City","City","$596.4 million +","            $53,400*","            80%","            18:1","            45%"
"Tuition & Fees $50,556 (2018-19)","Tuition & Fees $50,556 (2018-19)","Room and Board $13,005 (2018-19)","Total Enrollment 11,434","Private, Coed","None","Quarter","City","City","$711.3 million +","            $50,600*","            58%","            11:1","            65%"
"Tuition & Fees $48,066 (2018-19)","Tuition & Fees $48,066 (2018-19)","Room and Board $14,830 (2018-19)","Total Enrollment 11,080","Private, Coed","Roman Catholic","Semester","Urban","Urban","$349.6 million","            $54,900*","            66%","            13:1","            67%"
"In-state Tuition & Fees $18,276 (2018-19)","Out-of-state Tuition & Fees $42,516 (2018-19)","Room and Board $12,462 (2018-19)","Total Enrollment 13,340","Public, Coed","None","Semester","Suburban","Suburban","$453.3 million +","            $49,300*","            67%","            17:1","            62%"
"Tuition & Fees $49,444 (2018-19)","Tuition & Fees $49,444 (2018-19)","Room and Board $15,222 (2018-19)","Total Enrollment 4,233","Private, Coed","None","Semester","Rural","Rural","$191.1 million +","            $63,800*","            66%","            13:1","            58%"
"Tuition & Fees $52,002 (2018-19)","Tuition & Fees $52,002 (2018-19)","Room and Board $13,890 (2018-19)","Total Enrollment 21,940","Private, Coed","None","Quarter","Urban","Urban","$707.6 million +","            $59,900*","            79%","            11:1","            0%"
"Tuition & Fees $44,130 (2018-19)","Tuition & Fees $44,130 (2018-19)","Room and Board $13,046 (2018-19)","Total Enrollment 15,346","Private, Coed","None","Semester","Suburban","Suburban","$847.2 million +","            $60,300*","            57%","            12:1","            28%"
"In-state Tuition & Fees $11,898 (2018-19)","Out-of-state Tuition & Fees $35,478 (2018-19)","Room and Board $12,963 (2018-19)","Total Enrollment 22,887","Public, Coed","None","Quarter","City","City","$828.5 million","            $48,300*","            83%","            17:1","            52%"
"In-state Tuition & Fees $16,898 (2018-19)","Out-of-state Tuition & Fees $31,918 (2018-19)","Room and Board $13,808 (2018-19)","Total Enrollment 11,446","Public, Coed","None","Semester","Urban","Urban","$112.4 million +","            $60,900*","            61%","            17:1","            28%"
"Tuition & Fees $43,996 (2018-19)","Tuition & Fees $43,996 (2018-19)","Room and Board $12,290 (2018-19)","Total Enrollment 12,098","Private, Coed","Roman Catholic","Semester","Urban","Urban","$1.1 billion +","            $50,600*","            64%","            9:1","            68%"
"In-state Tuition & Fees $8,568 (2018-19)","Out-of-state Tuition & Fees $18,218 (2018-19)","Room and Board $16,140 (2018-19)","Total Enrollment 2,215","Public, Coed","None","Semester","City","City","$35.9 million","            $52,200*","            52%","            13:1","            0%"
"In-state Tuition & Fees $16,666 (2018-19)","Out-of-state Tuition & Fees $28,426 (2018-19)","Room and Board $11,566 (2018-19)","Total Enrollment 39,948","Public, Coed","None","Semester","Urban","Urban","$615.4 million","            $48,300*","            57%","            14:1","            45%"
"In-state Tuition & Fees $11,644 (2017-18)","Out-of-state Tuition & Fees $32,449 (2017-18)","Room and Board $11,300 (2017-18)","Total Enrollment 44,831","Public, Coed","None","Semester","City","City","$843.5 million +","            $53,300*","            84%","            15:1","            45%"
